あ|アルファベットのa
い|アルファベットのi
う|アルファベットのu
え|アルファベットのe
お|アルファベットのo
か|アルファベットのk
き|影絵の「き」つねの形
く|手話における数字の「9(く)」
け|髪の「毛(け)」、「敬礼(けいれい」の形など
こ|カタカナの「コ」
さ|アルファベットのs
し|手話における数字の「7(しち)」
す|カタカナの「ス」
せ|一番「背(せ)」の高い指
そ|「そ」れ、と指さす様子
た|アルファベットのt
ち|1000＝千(ち) 折りたたんだ3つの指が3つのゼロを表す
つ|カタカナの「ツ」
て|「手(て)」そのもの
と|カタカナのト　トントンのノックする様子
な|アルファベットのN
に|手話における数字の「2(に)」
ぬ|「ぬ」すむカギ爪の形
ね|木の「根(ね)」の形
の|カタカナの「ノ」
は|アルファベットのh はさみ
ひ|「ひ」とさしゆび　「ひ」とつ
ふ|カタカナの「フ」
へ|カタカナの「ヘ」
ほ|船の帆(ほ)を張った形
ま|アルファベットのM
み|手話における数字の「3(み)」
む|カタカナの「ム」
め|「め」だまの形(親指・人差し指はくっつけます)
も|手話の「も」(【同じ】の手話)
や|アルファベットのY
ゆ|お「ゆ」の湯気
よ|手話における数字の「4(よ)」
ら|アルファベットのr
り|カタカナの「リ」
る|カタカナの「ル」
れ|カタカナの「レ」
ろ|カタカナの「ロ」
わ|アルファベットのW
を|「お」を身体側に引く
ん|カタカナの「ン」
1|タイピングゲームで「中層」に到達すると解放されます
2|タイピングゲームで「薄暮層」に到達すると解放されます
3|タイピングゲームで「深海」に到達すると解放されます
4|タイピングゲームで「超深海」に到達すると解放されます
5|タイピングゲームで「？？？」に到達すると解放されます
が|「か」を利き手側に動かします
ぎ|「き」を利き手側に動かします
ぐ|「く」を利き手側に動かします
げ|「け」を利き手側に動かします
ご|「こ」を利き手側に動かします
ざ|「さ」を利き手側に動かします
じ|「し」を利き手側に動かします
ず|「す」を利き手側に動かします
ぜ|「せ」を利き手側に動かします
ぞ|「そ」を利き手側に動かします
だ|「た」を利き手側に動かします
ぢ|「ち」を利き手側に動かします
づ|「つ」を利き手側に動かします
で|「て」を利き手側に動かします
ど|「と」を利き手側に動かします
ば|「は」を利き手側に動かします
び|「ひ」を利き手側に動かします
ぶ|「ふ」を利き手側に動かします
べ|「へ」を利き手側に動かします
ぼ|「ほ」を利き手側に動かします
ぱ|「は」を真上に動かします
ぴ|「ひ」を真上に動かします
ぷ|「ふ」を真上に動かします
ぺ|「へ」を真上に動かします
ぽ|「ほ」を真上に動かします
ー|人差し指で伸ばし棒を縦に描きます
ぁ|「あ」を身体側に引く
ぃ|「い」を身体側に引く
ぅ|「う」を身体側に引く
ぇ|「え」を身体側に引く
ぉ|「お」を身体側に引く
ゃ|「や」を身体側に引く
ゅ|「ゆ」を身体側に引く
ょ|「よ」を身体側に引く
っ|「つ」を身体側に引く
