犬|いぬ
猫|ねこ
牛|うし
鳥|とり
熊|くま
猿|さる
馬|うま
手|て
足|あし
目|め
口|くち
鼻|はな
頭|あたま
顔|かお
魚|さかな
肉|にく
卵|たまご
米|こめ
パン|ぱん
水|みず
空|そら
海|うみ
山|やま
川|かわ
木|き
花|はな
草|くさ
石|いし
赤|あか
青|あお
白|しろ
黒|くろ
緑|みどり
家|いえ
部屋|へや
窓|まど
ドア|どあ
朝|あさ
昼|ひる
夜|よる
今|いま
雨|あめ
雪|ゆき
風|かぜ
雲|くも
兄|あに
姉|あね
親|おや
子供|こども
先生|せんせい
本|ほん
紙|かみ
机|つくえ
椅子|いす
鞄|かばん
靴|くつ
帽子|ぼうし
時計|とけい
鍵|かぎ
傘|かさ
財布|さいふ
電話|でんわ
テレビ|てれび
車|くるま
自転車|じてんしゃ
春|はる
夏|なつ
秋|あき
冬|ふゆ
月|つき
星|ほし
絵|え
映画|えいが
会社|かいしゃ
仕事|しごと
休み|やすみ
明日|あした
昨日|きのう
今日|きょう
毎日|まいにち
一人|ひとり
楽しい|たのしい
嬉しい|うれしい
みんな|みんな
誰|だれ
何|なに
いつ|いつ
どこ|どこ
元気|げんき
楽しみ|たのしみ
大切|たいせつ
寿司|すし
わかめ|わかめ
エビ|えび
しお|しお
