苺|いちご
梨|なし
メロン|めろん
玉葱|たまねぎ
ねぎ|ねぎ
メモ帳|めもちょう
胡瓜|きゅうり
南瓜|かぼちゃ
象|ぞう
パンダ|ぱんだ
鰐|わに
兎|うさぎ
鼠|ねずみ
おにぎり|おにぎり
カレー|かれー
ラーメン|らーめん
蕎麦|そば
餃子|ぎょうざ
お好み焼き|おこのみやき
駅|えき
店|みせ
郵便|ゆうびん
食べる|たべる
飲む|のむ
寝る|ねる
読む|よむ
笑う|わらう
怒る|おこる
喜ぶ|よろこぶ
覚える|おぼえる
忘れる|わすれる
よろしくね|よろしくね
おめでとう|おめでとう
スマホ|すまほ
カメラ|かめら
砂浜|すなはま
面白い|おもしろい
川崎|かわさき
テンプラ|てんぷら
スープ|すーぷ
ポスト|ぽすと
ポケット|ぽけっと
グミ|ぐみ
ピアノ|ぴあの
ピザ|ぴざ
コップ|こっぷ
紙|かみ
下駄|げた
バス|ばす
百|ひゃく
左|ひだり
盗む|ぬすむ
温もり|ぬくもり
減る|へる
掘る|ほる
世話|せわ
手袋|てぶくろ
罰|ばつ
紅|べに
パレード|ぱれーど
ピッチ|ぴっち
ぽつぽつ|ぽつぽつ
塗り絵|ぬりえ
手を振る|てをふる
声を出す|こえをだす
先生|せんせい
毎日|まいにち
楽しみ|たのしみ
大切|たいせつ
